"Note","Description","key"
"3,0","Le premier s'en était plutôt pas mal sortis et s'était révélé être une bonne surprise. Cette suite, globalement, garde cette même ligne de conduite, a savoir un mix permanent d'action et d'humour plus ou moins réussie, toutefois l'effet de surprise en moins Pas mauvais en soi, le film étant généreux en clins d'œil, celle avec les bulles d'oxygènes étant personnellement la meilleure, le film alterne toujours entre actions réussies et scènes absurdes n'apportant absolument rien à l'histoire, cette scène de battle de danse dans le bar en es le parfait exemple. Côté scénario c'est très simplet mais l'on peut pas dire que le matériaux de base le soit beaucoup plus. C'est un divertissement honnête, mais qui une fois terminé ne laisse pas de souvenir impérissable, mention spéciale par contre au générique de fin très réussie. La scène post-generique teasant un probable troisième volet, qui j'espère saura un peu plus se renouveler.",3
"3,0","Très bien pour les enfants, dans la lignée du 1er. Jim Carrey dans un rôle sur mesure. De bonnes valeurs au niveau du scénario mais hélas encore quelques placements de produits, ce qui est toujours un peu dérangeant dans un film pour jeune public.",4
"5,0","Ce deuxième volet est une totale réussite. Le scénario est réussi, le film est bien rythmé et bien mis en scène, c'est drôle, et les effets spéciaux sont top ! On a beaucoup de références aux jeux vidéo de Sonic, pour les connaisseurs. Il y a quelques petites différences par rapport aux jeux vidéo, par exemple le fait que la tâche de Knuckles est de garder et de protéger la Master Emerald, et non de partir à sa recherche pour son pouvoir. Mais on comprend ces changements dans le but de nous pondre un bon scénario. Et sinon, Jim Carrey est toujours excellent dans son rôle de Dr Robotnik. Bref, on a là un super divertissement, et en tant que fan de Sonic, j'ai été ravi !",5
"3,0","Jim Carrey de retour dans Sonic 2.et je dois dire que c'est lui qui vole la notoriété de Sonic et des autres. il excelle dans son rôle.. un rôle diamanté pour lui et son personnage. maintenant le film en lui même n'est pas mauvais , l'intrigue. le scénario la mise en forme sont plutôt bien faits. ceci dit beaucoups de.mea culpa scénarial sont inutiles comme la très longue'partie 1 et ses dérives... quand vient la partie 2 je me sens dans mon jeu vidéo. sa me plaît et là je suis content. la lumière, le cadrage les plans d'actions et drôles... Robotnik qui s'élève les babines.. bien.. il a fallu attendre 1heure pour voir tout sa.. ok. mais la fin est très rapide.. beaucoups trop rapide a la Sonic... alors que des scènes inutiles..elles.. sont longues et ennuyeuses.. ils auraient pu se focaliser sur la fin.. dommage. un film à voir. surtout pour le dieu Jim Carrey",6
"5,0","Franchement, un excellent film, je l'ai trouvé beaucoup que Sonic 1 qui était déjà un très bon film !!! Les acteurs sont excellents, les gags s'enchaînent, les scènes d'actions et de combats sont très bien réalisé, les décors sont magnifiques, les effets spéciaux sont incroyables et la musique est superbe. Le film est extrêmement bien rythmée, pas le temps de s'ennuyer une seule seconde. Aucune longueur, aucun temps morts. Une superbe suite. Le scénario et les dialogues sont très bien écrits. J'aime encore plus le doublage de Malik Bentalha dans ce second opus que dans le premier. Bref, un très bon film, une très bonne suite que je vous conseillerais d'aller voir !!! Il vaut trop le coup. Attention, restez jusqu'au milieu du générique, il y a une scène mid-générique qui annonce du lourd pour la suite !!! Vivement la sortie de Sonic 3",7
"5,0","Excellente suite de sonic avec des petits camarades en plus toujours unis contre le dr rebotnic et toujours aussi fun!😁On attends le 3 avec Amy et Shadow😉",8
"4,0","Un très bon film. Un très deuxième volet des aventures de Sonic face au docteur Robotnik et Knuckles aidé par Tails dans la ville de Seattle.",9
"3,5","Cette nouvelle aventure dans l’univers de Sonic est une réussite sur le plan scénaristique avec une histoire entraînante et plus dense, sur le plan visuel ainsi que sur sa distribution avec le retour en force de Jim Carrey qui signe une excellente interprétation du docteur Robotnik. A ne pas manquer !Mon avis complet (sans spoilers) : https://mediashowbydk.com/2022/04/12/critique-film-sonic-2/",10
"3,5","""Sonic 2 Le film"" est un film que j'ai bien apprécié mais j'ai préféré le premier volet. Ce deuxième opus à une histoire intéressante, les personnages sont attachants et il y a de bonne scènes comique.",11
"1,5","Comment peut on aimé ce film, passé l'âge de 12,13 ans ?Blague niveau cours de récré, les personnages sont tous plus énervant les uns que les autres (mention spéciale pour la soeur dans la scène du mariage, qui est l'un de mes plus grand moment de gêne au cinéma) c'est tellement mal joué !!! Quel dommage de voir Jim Carrey dans cette bouillie de cinéma. Le scénario est débile et fainéant. Nos enfants ne mérite pas de s'abrutir devant ce film. Seul petit point positif certain effets spéciaux sont plutôt sympa, pas tous car souvent ils sont vraiment moche.",12
"3,0","sonic 2 est un film pour gosse. voilà le gros problème du film, le 1 avait de l'idée et nous fesait un sympathique buddy movir, la c'est un film mal fini avec ses effet spéciaux et en bonne partie mal écrit, sa met des couleur flashi pour la gamin et des références pour les fan. espérons que le 3 sera meilleur car la meilleur scène du film c'est le post-générique",13
